certificateName,url,description
일반기계기사,/img/Character/engineer.png,일반기계기사 캐릭터 소개
건설기계설비기사,/img/Character/mechanical_engineer.png,기계설비기사 캐릭터 소개
소방설비기사(기계),/img/Character/mechanical_fire_engineer.png,소방설비기사(기계) 캐릭터 소개
소방설비기사(전기),/img/Character/mechanical_electric_engineer.png,소방설비기사(전기) 캐릭터 소개
위험물산업기사,/img/Character/hazardous_engineer.png,위험물 산업기사 캐릭터 소개
전기기사,/img/Character/electrical_engineer.png,전기기사 캐릭터 소개
전기산업기사,/img/Character/electrical_engineering.png,전기산업기사 캐릭터 소개
전기공사기사,/img/Character/electrical_work_engineer.png,전기공사기사 캐릭터 소개
전자기사,/img/Character/electronic_engineer.png,전자기사 캐릭터 소개
무선설비기사,/img/Character/radio_engineer.png,무선설비기사 캐릭터 소개
정보통신기사,/img/Character/information_engineer.png,정보통신기사 캐릭터 소개
정보처리기사,/img/Character/information_processing_engineer.png,정보처리기사 캐릭터 소개
GTQ,/img/Character/graphic_design.png,GTQ 캐릭터 소개
게임기획전문가,/img/Character/game_planner.png,게임기획전문가 캐릭터 소개
게임그래픽전문가,/img/Character/game_graphic_designer.png,게임그래픽전문가 캐릭터 소개
빅데이터분석기사,/img/Character/big_data_analyst.png,빅데이터분석기사 캐릭터 소개
인공지능산업기사,/img/Character/ai_industry.png,인공지능산업기사 캐릭터 소개
제품디자인산업기사,/img/Character/industrial_engineer_product_design.png,제품디자인산업기사 캐릭터 소개
시각디자인산업기사,/img/Character/visual_communication_design.png,시각디자인산업기사 캐릭터 소개
컴퓨터그래픽기능사,/img/Character/computer_graphic.png,컴퓨터그래픽기능사 캐릭터 소개
패션디자인산업기사,/img/Character/fashion_design.png,패션디자인산업기사 캐릭터 소개
의류기사,/img/Character/cloth_design.png,의류기사 캐릭터 소개
실내건축산업기사,/img/Character/interior_ architecture.png,실내건축산업기사 캐릭터 소개
멀티미디어콘텐츠제작전문가,/img/Character/multimedia_content.png,멀티미디어콘텐츠제작전문가 캐릭터 소개
옥외광고사,/img/Character/advertisement_engineer.png,옥외광고사 캐릭터 소개
영상편집전문가,/img/Character/video_editing.png,영상편집전문가 캐릭터 소개
ACP,/img/Character/ACP.png,ACP 캐릭터 소개
문화예술교육사,/img/Character/culture_art.png,문화예술교육사 캐릭터 소개
영양사,/img/Character/nutritionist.png,영양사 캐릭터 소개
위생사,/img/Character/hygienist.png,위생사 캐릭터 소개
의료정보관리사,/img/Character/medical_information.png,의료정보관리사 캐릭터 소개
병원행정사,/img/Character/hospital_ administrator.png,병원행정사 캐릭터 소개
작업치료사,/img/Character/occupational_therapist.png,작업치료사 캐릭터 소개
동물간호복지사,/img/Character/animal_nurse.png,동물간호복지사 캐릭터 소개
응급구조사,/img/Character/emergency.png,응급구조사 캐릭터 소개
화학분석기능사,/img/Character/chemical_analysis_technician.png,화학분석기능사 캐릭터 소개
바이오화학제품제조기사,/img/Character/biochemical_manufacturing.png,바이오화학제품제조기사 캐릭터 소개
화공기사,/img/Character/chemical_engineer.png,화공기사 캐릭터 소개
미용사(메이크업),/img/Character/makeup_ beautician.png,미용사(메이크업) 캐릭터 소개
화장품제조관리사,/img/Character/cosmetic_ manufacturing_manager.png,화장품제조관리사 캐릭터 소개
사회복지사 1급,/img/Character/social_worker.png,사회복지사 1급 캐릭터 소개
재활운동전문가,/img/Character/rehabilitation_ specialist.png,재활운동전문가 캐릭터 소개
반려동물종합관리사,/img/Character/pets.png,반려동물종합관리사 캐릭터 소개
양식조리기능사,/img/Character/western_food.png,양식조리기능사 캐릭터 소개
한식조리기능사,/img/Character/korean_food.png,한식조리기능사 캐릭터 소개
바리스타(1급),/img/Character/barista.png,바리스타 캐릭터 소개
제과기능사,/img/Character/bread.png,제과기능사 캐릭터 소개
관광통역안내사,/img/Character/tour_guide.png,관광통역안내사 캐릭터 소개
호텔서비스사,/img/Character/hotel_service.png,호텔서비스사 캐릭터 소개
JLPT,/img/Character/JLPT.png,JLPT 캐릭터 소개
ERP정보관리사,/img/Character/ERP_information.png,ERP정보관리사 캐릭터 소개
전산회계 1급,/img/Character/computerized_accounting.png,전산회계 1급 캐릭터 소개
CS Leaders(서비스경영자격),/img/Character/CS_Leaders.png,CS Leaders(서비스경영자격) 캐릭터 소개
