# --- 일반기계기사 ---
certificateName,url,description
일반기계기사,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=1021,일반기계기사 일정 및 소개
일반기계기사,https://www.comcbt.com/xe/ny,필기 기출문제(2022년까지)
일반기계기사,https://blog.naver.com/se_302na/223373221931,실기 응시요령(네이버 블로그 정리글)
# ---건설기계설비기사 ---
건설기계설비기사,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=1040,건설기계기사 일정 및 소개
건설기계설비기사,https://www.comcbt.com/xe/e7#google_vignette,필기 기출문제(2021년까지)
건설기계설비기사,https://blog.naver.com/dexoneq/223631096449,실기 응시요령(네이버 블로그 정리글)
# --- 소방설비기사(기계) ---
소방설비기사(기계),https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=1900,소방설비기사(기계) 일정 및 소개
소방설비기사(기계),https://www.comcbt.com/xe/nd,필기 기출문제(2023년까지)
소방설비기사(기계),https://ehgnsj.tistory.com/2,실기 응시요령(티스토리 정리글)
# --- 소방설비기사(전기) ---
소방설비기사(전기),https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=1910,소방설비기사(전기) 일정 및 소개
소방설비기사(전기),https://www.comcbt.com/xe/nc,필기 기출문제(2022년까지)
소방설비기사(전기),https://blog.naver.com/zagiya76/223483148960,실기 응시요령(네이버 블로그 정리글)
# --- 위험물 산업기사 ---
위험물산업기사,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=2121,위험물산업기사 일정 및 소개
위험물산업기사,https://www.comcbt.com/xe/ng,필기 기출문제(2020년까지)
위험물산업기사,https://blog.naver.com/subin_s_humteresting/223621728570,실기 응시요령(네이버 블로그 정리글)
# --- 전기기사 ---
전기기사,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=1150,전기기사 일정 및 소개
전기기사,https://www.comcbt.com/xe/kt,필기 기출문제(2022년까지)
전기기사,https://careercatch.tistory.com/4,실기 응시요령(티스토리 정리글)
# --- 전기산업기사 ---
전기산업기사,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=2140,전기산업기사 일정 및 소개
